,,,,,field_auc,field_auc,field_auc,precision,precision,precision,recall,recall,recall,f1,f1,f1,hub_correct,hub_correct,hub_correct,loglik_final,loglik_final,loglik_final,active_mean,active_mean,active_mean,beta0_hat,beta0_hat,beta0_hat,beta1_hat,beta1_hat,beta1_hat,beta_gap_hat,beta_gap_hat,beta_gap_hat,gate_gini,gate_gini,gate_gini,gate_effective_support,gate_effective_support,gate_effective_support,b2_active_fraction,b2_active_fraction,b2_active_fraction,b2_n_pair_fits,b2_n_pair_fits,b2_n_pair_fits,b2_n_windows,b2_n_windows,b2_n_windows
,,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
dataset,session,condition,alpha1_strength,method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc-11,Achilles_10252013,spikein,1.0,B1_static_gates,,,0,0.25,0.0,3,0.25,0.0,3,0.25,0.0,3,0.6666666666666666,0.5773502691896258,3,6049.977211416328,46.57569097715684,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
hc-11,Achilles_10252013,spikein,1.0,B2_modular_hmm_hawkes,0.7310064935064936,0.09231105316454136,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,,,0,0.41927836617559994,0.0917122471613616,3,,,0,,,0,,,0,,,0,,,0,0.41927836617559994,0.0917122471613616,3,190.0,0.0,3,4.0,0.0,3
hc-11,Achilles_10252013,spikein,1.0,B3_static_svd,,,0,0.16666666666666666,0.14433756729740646,3,0.16666666666666666,0.14433756729740646,3,0.16666666666666666,0.14433756729740646,3,0.6666666666666666,0.5773502691896258,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
hc-11,Achilles_10252013,spikein,1.0,Proposed,0.677056277056277,0.022128792933561944,3,0.5833333333333334,0.14433756729740646,3,0.5833333333333334,0.14433756729740646,3,0.5833333333333334,0.14433756729740646,3,0.6666666666666666,0.5773502691896258,3,7473.897778119784,66.8311121562131,3,0.817012716653153,0.05602526199078816,3,14.135086699685154,0.0005520423257786807,3,19.99616,0.0,3,5.861073300314846,0.0005520423257773952,3,0.0909362878997988,0.009232864739510488,3,19.495943800598273,0.09664931316025462,3,,,0,,,0,,,0
hc-11,Achilles_10252013,spikein,1.5,B1_static_gates,,,0,0.25,0.0,3,0.25,0.0,3,0.25,0.0,3,0.6666666666666666,0.5773502691896258,3,6240.9850635543,85.4536363264565,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
hc-11,Achilles_10252013,spikein,1.5,B2_modular_hmm_hawkes,0.7583333333333333,0.09381941874331416,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,,,0,0.4625395851032999,0.13719430795210855,3,,,0,,,0,,,0,,,0,,,0,0.4625395851032999,0.13719430795210855,3,190.0,0.0,3,4.0,0.0,3
hc-11,Achilles_10252013,spikein,1.5,B3_static_svd,,,0,0.16666666666666666,0.14433756729740646,3,0.16666666666666666,0.14433756729740646,3,0.16666666666666666,0.14433756729740646,3,0.6666666666666666,0.5773502691896258,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
hc-11,Achilles_10252013,spikein,1.5,Proposed,0.6708333333333334,0.0072168783648704085,3,0.75,0.25,3,0.75,0.25,3,0.75,0.25,3,0.6666666666666666,0.5773502691896258,3,7624.504701337522,84.72472437594205,3,0.7769149238586741,0.09517062339887769,3,14.134631027818784,0.0002743737197779218,3,19.99616,0.0,3,5.8615289721812145,0.0002743737197782113,3,0.09649844613254684,0.008830274121084695,3,19.43782199196068,0.10068103121507944,3,,,0,,,0,,,0
