method,dataset,session,condition,alpha1_strength,events,K,M,T,empirical_nu_base,mean_events_per_actor_mark_per_sec,ring_size,hub_actor,true_ring,n_injected_events,hawkes_sampler_used,seed,field_auc,precision,recall,f1,hub_correct,pred_ring,hub_pred,loglik_final,beta0_hat,beta1_hat,beta_gap_hat,eta_on_hat,eta_off_hat,active_mean,gate_gini,gate_effective_support,proposed_lr,proposed_lambda_g,proposed_lambda_h,proposed_lambda_e,proposed_lambda_0,proposed_n_inner_steps,proposed_stability_target,proposed_eta_prior_weight_s,proposed_eta_prior_weight_pi,proposed_eta_off_floor,proposed_eta_pi1_target,proposed_eta_beta_prior_kappa,proposed_eta_beta_prior_target,proposed_eta_gamma_prior_shape,proposed_eta_gamma_prior_rate,proposed_eta_gamma_prior_weight,proposed_pi1_init,g0_hat,h0_hat,sender0_score,receiver0_score,member0_score,g1_hat,h1_hat,sender1_score,receiver1_score,member1_score,g2_hat,h2_hat,sender2_score,receiver2_score,member2_score,g3_hat,h3_hat,sender3_score,receiver3_score,member3_score,g4_hat,h4_hat,sender4_score,receiver4_score,member4_score,g5_hat,h5_hat,sender5_score,receiver5_score,member5_score,g6_hat,h6_hat,sender6_score,receiver6_score,member6_score,g7_hat,h7_hat,sender7_score,receiver7_score,member7_score,g8_hat,h8_hat,sender8_score,receiver8_score,member8_score,g9_hat,h9_hat,sender9_score,receiver9_score,member9_score,g10_hat,h10_hat,sender10_score,receiver10_score,member10_score,g11_hat,h11_hat,sender11_score,receiver11_score,member11_score,g12_hat,h12_hat,sender12_score,receiver12_score,member12_score,g13_hat,h13_hat,sender13_score,receiver13_score,member13_score,g14_hat,h14_hat,sender14_score,receiver14_score,member14_score,g15_hat,h15_hat,sender15_score,receiver15_score,member15_score,g16_hat,h16_hat,sender16_score,receiver16_score,member16_score,g17_hat,h17_hat,sender17_score,receiver17_score,member17_score,g18_hat,h18_hat,sender18_score,receiver18_score,member18_score,g19_hat,h19_hat,sender19_score,receiver19_score,member19_score
Proposed,binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1_seed_8,crypto_spikein_compact,1.0,5359,20,2,119.98773333333371,1.1165724718526748,1.1165724718526748,4,0,"[0, 4, 6, 18]",359,False,8,0.6909937888198758,0.25,0.25,0.25,0,"[0, 13, 19, 15]",13,-637.5000502125787,0.35354950510987415,0.49999616,0.14644665489012587,0.014240069544284528,0.05615344409994645,0.32908023851539847,0.085894902258971,19.406163845045363,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.0008148044808842625,0.25157692316634817,0.0006380135632443957,0.2991386128870455,1.0,0.09725907987584721,0.06568202948557327,0.08868847381728812,0.07370592270050795,0.9105500658976134,0.07482750084035761,0.12736557565334805,0.06503556841156602,0.14490884628629988,0.6677095518053299,0.074702192658839,0.12162408714497226,0.06522334146005623,0.13838929206694123,0.6696373870055251,0.03676941331556604,0.09910744409409643,0.03267775330354529,0.11537315135970264,0.3856845836323626,0.09175780611054846,0.04450080471808004,0.08502060333456712,0.05010947339896931,0.872892639109258,0.09230578863300623,0.07996673652149389,0.08325860146382183,0.09001345841291086,0.8548024538747692,0.07484446183461069,0.1293795770665293,0.06494479724064568,0.14720399380061222,0.6667776190286605,0.09586696032158817,0.024699699071277094,0.09014352731966582,0.027742037209724787,0.9254888624001225,0.09646986752442993,0.012754008821529472,0.09150979378774736,0.014319983528590778,0.9395160969324056,0.09326031232496011,0.08731777760386987,0.08364491876950453,0.09823242182487167,0.8587687105145153,0.09840490494134145,0.005064833338131619,0.09386866088595584,0.005679645278142277,0.9637341999086997,0.09652564826909275,0.045584429425943956,0.08936625888419535,0.05117868488133005,0.9175087744058716,0.10242778005744127,0.009360881568531175,0.09740098555685643,0.0104711612981085,1.0,0.09762975193972398,0.04200083627153928,0.0906304946424318,0.04712318754552984,0.9304884763155455,0.10256691147554949,0.05729177653679533,0.09412615410626073,0.06408517619382163,0.9663778407182125,0.09784299563394047,0.008723983891669385,0.09308512748769412,0.009786772031976263,0.9556897905653841,0.09998101928100303,0.04098701554285592,0.09288258720630692,0.0459178809664867,0.9536103425985155,0.09100532625976362,0.12291803772234006,0.07937526073334422,0.13846919489968568,0.814932829268037,0.10099515074839671,0.0053517806675306015,0.09631965481884874,0.005991680222288884,0.9888981540399663
Proposed,binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1_seed_7,crypto_spikein_compact,1.0,5413,20,2,119.98604999999986,1.1278394446687774,1.1278394446687774,4,0,"[0, 4, 6, 18]",413,False,7,0.782608695652174,0.25,0.25,0.25,0,"[19, 0, 11, 12]",19,-634.649173490903,0.35354950510987415,0.49999616,0.14644665489012587,0.00963090799496394,0.07338892800730518,0.24819765342734945,0.09610793150587793,19.275707102744708,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.00078125,0.2225948257681767,0.0006544010408019688,0.251944249639089,1.0,0.09404200029049561,0.07481750506686469,0.08841021767432676,0.07984676419312761,0.9144818144025765,0.06475230729874726,0.10983875903701709,0.059303229927403646,0.11945533233529444,0.6134101547370524,0.046038061037571125,0.11750398248335364,0.041919191666202754,0.12931510493336562,0.5132687295646158,0.04075489323741485,0.08592335487763783,0.03799999499055538,0.09487299954976107,0.39305755918688307,0.09296377639049522,0.058257242429575515,0.0884590632675669,0.06221815005957565,0.9149870547232865,0.0843055451130411,0.08308724885436737,0.07877179673295466,0.0892350669523189,0.8147856378485256,0.07725280161947454,0.11276272577822843,0.07058871778461923,0.12165806593881456,0.7301429677938136,0.09387753414815705,0.02749901364823369,0.09132733890244409,0.029351336839386073,0.944655411795445,0.09709248228228731,0.058430407757642286,0.09237610614613245,0.062235610744976216,0.9555034630402349,0.08682491918641869,0.08605194978499049,0.0809493017141325,0.09226640406382486,0.837308924844531,0.09827975782997944,0.024264472467277823,0.09583223739292582,0.025824544427045605,0.9912523759659275,0.09740661600397384,0.026875479733607637,0.09481144767205206,0.02862006183297856,0.980693713623224,0.09678036031094067,0.03722657747054509,0.09350179937686066,0.0396589697234098,0.9671472075663381,0.09206431624805847,0.06057758680697107,0.08745440415759488,0.06473453819209594,0.9045952413117685,0.09390918941349374,0.050895079366747295,0.0898428693405405,0.05432436484194178,0.9293006207531287,0.09605658454003965,0.02683908740130866,0.09349591647639915,0.028605958616330012,0.9670863570715705,0.09667464241431448,0.05618093571201203,0.09213334232680692,0.05985568362941092,0.9529924060175512,0.08387580083297823,0.07503228528187304,0.07883592436061833,0.08060453971444309,0.8154489497466507,0.10001272848850784,0.036420299079538226,0.09667793966147313,0.03871749438522211,1.0
Proposed,binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1_seed_10,crypto_spikein_compact,1.0,5343,20,2,119.98604999999986,1.113254415825841,1.113254415825841,4,0,"[0, 4, 6, 18]",343,False,10,0.7406832298136646,0.25,0.25,0.25,0,"[0, 9, 16, 13]",9,-684.7584698431032,0.35354950510987415,0.49999616,0.14644665489012587,0.04026914640408844,0.1143841629944608,0.34964483690457815,0.10096911470125058,19.228069240389207,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.0007950232457589486,0.22034628270105738,0.0006306247962435372,0.2436266108326473,1.0,0.09440387541959705,0.08895262814835536,0.08347904958827036,0.09258093754573751,0.8826003393045272,0.04691548399576283,0.12087613090510031,0.040447167888317946,0.12977905570098,0.5326965525540566,0.032598594214710806,0.13414597680538815,0.027804906289001723,0.14535949378191368,0.5966486718553272,0.026166160565071518,0.07638339815849292,0.02336562280950311,0.08311062194567123,0.34113934295446,0.08623965560887474,0.07747011370468926,0.07694600949969777,0.08106749623440568,0.813528357444369,0.0866862553082166,0.06509721653507561,0.07808606884711812,0.0680994843765299,0.8255818819133621,0.085469737022873,0.09673119374842137,0.07511806599916931,0.10127311872946283,0.7942020287217358,0.09543391703999242,0.034269286425656936,0.08800793724880838,0.035641303020872706,0.9304829853765375,0.10117987810230353,0.016018615662336772,0.09458306990234143,0.016596431877349674,1.0,0.08750481389187795,0.10349187601550974,0.0764948343787371,0.10821096731660906,0.8087582107212132,0.09799516804429638,0.01589355568934307,0.09161544683140639,0.016502490137091392,0.9686241620831386,0.09519868224199982,0.04911460790089355,0.08680779518270294,0.05109047397554748,0.9177942233460323,0.09958109734645099,0.010400155783187887,0.09347899951999679,0.010786753552819642,0.9883269766620537,0.09169766343335549,0.05165808715039552,0.08345573738395787,0.05386098241785419,0.8823538659733426,0.09426950060237607,0.03486002339314195,0.08689257182815216,0.03628476148104641,0.9186905427987289,0.1007178215532468,0.013139548065802727,0.09435071972097335,0.013617981650380393,0.9975434273638191,0.09592625550312973,0.05752303394989869,0.08691406240832844,0.05980807845203785,0.9189177566140392,0.08070492156095656,0.0731300119328457,0.07224801631844055,0.07680292191205855,0.763857806614205,0.09642789434459378,0.025170433792050854,0.08953300261741064,0.02615974411756234,0.9466070694243159
Proposed,binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1_seed_9,crypto_spikein_compact,1.0,5431,20,2,119.98280000000011,1.1316205322762918,1.1316205322762918,4,0,"[0, 4, 6, 18]",431,False,9,0.6933333333333334,0.25,0.25,0.25,0,"[19, 0, 13, 17]",19,-594.0200923833078,0.35354950510987415,0.49999616,0.14644665489012587,0.05706469245087373,0.11457260627233261,0.41161864709725454,0.10981190130895646,19.113903207384563,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.000786526061091051,0.2096681881097572,0.0006107911803617008,0.22350858368627027,1.0,0.09505910963185576,0.09725556268279366,0.08122658404158095,0.09732006782695724,0.915751620995873,0.04984793678136033,0.1102138061441792,0.042148513913020574,0.11374010072249173,0.5088847096903625,0.035036594770070525,0.12180051040944012,0.029342138388384436,0.1269465919802926,0.5679718867463375,0.01301663713586293,0.0787847409485895,0.0112891232243872,0.0833149271377005,0.3727594071046784,0.08799683558673072,0.07622195086762043,0.07647470932069243,0.07664520880470062,0.862178803306096,0.0828325718989728,0.050472010409357476,0.07346646490907803,0.05093461864846129,0.8282637405370222,0.062418739302108436,0.11040013959003044,0.052767028880064945,0.11297913169623493,0.5948975055668858,0.09403711914706787,0.05650973975007319,0.0830088579800151,0.056588527680343684,0.9358450456725068,0.09785844742655671,0.03445298648270525,0.0878790713860455,0.03441235829350304,0.9907520182331785,0.08633190078326888,0.0850238037795929,0.0745018624046628,0.08559590441547762,0.8399368515775092,0.09367820408673998,0.051467579666352896,0.08302407935068618,0.051549119559106564,0.9360166519887183,0.09204886198566627,0.03492361372738317,0.08263122656008283,0.03501782467849664,0.9315876145737804,0.09708920865033896,0.01546572663647013,0.08846981284151385,0.015454556820013742,0.997412060038675,0.09151309169059267,0.06782279475163636,0.0800657233753256,0.06803404002338016,0.9026640333616387,0.09490822497707915,0.024520493046647662,0.08588399290335103,0.024538661873732614,0.9682594269701236,0.09383810511633374,0.011752572085825395,0.08574740937765006,0.011770085769386224,0.9667195790676443,0.09666764152631475,0.017408812421130168,0.08795063014330977,0.017400818687108303,0.9915587744046267,0.0767222016161905,0.06476918376548763,0.06728561728402241,0.06563676486472911,0.7585806275690351,0.09701982393477246,0.011093034709750876,0.08869936146358949,0.011085105759438022,1.0
Proposed,binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1_seed_11,crypto_spikein_compact,1.0,5386,20,2,119.97739999999988,1.1222946988349485,1.1222946988349485,4,0,"[0, 4, 6, 18]",386,False,11,0.7391304347826086,0.25,0.25,0.25,0,"[19, 0, 9, 13]",19,-654.8149308184687,0.35354950510987415,0.49999616,0.14644665489012587,0.027184697852129017,0.07614063779643122,0.36829512210854093,0.09565932161716884,19.328554750385837,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.0007829904649683155,0.21144237866581167,0.0006361947807632664,0.23302145189691006,1.0,0.094027636353095,0.09208626873168729,0.08418202560606655,0.09553750595459388,0.8817993616948372,0.050181906565336734,0.11889764609160317,0.0439942842121789,0.12695224351531764,0.5448092546066616,0.03747796980015866,0.12505809759166833,0.03270008007071234,0.13464002666255528,0.5778009945716103,0.014479000973624602,0.09257626190895372,0.012958712903528525,0.10114238215494634,0.4340475150746733,0.08578629213053324,0.07774570074009135,0.07766108003012982,0.08109639430471008,0.8134930266416047,0.08817153322536964,0.0647412144649777,0.08062192664635484,0.06742982630062894,0.8445076362030476,0.07555923335610254,0.0967598827903158,0.0674032879726962,0.10161859824003662,0.7060435512515578,0.09619826840685243,0.022537241311013208,0.09075425077282874,0.02334506677186883,0.9506428459807273,0.09950425605896017,0.024260195225826724,0.09376174717936506,0.025076029380601068,0.9821461080190326,0.09040991884959984,0.07648226013509993,0.08192613424993742,0.0795335434913159,0.8581690968780183,0.09454983502175418,0.022461842909637205,0.08921573773438782,0.02329589558508705,0.9345270563511817,0.09669655988642112,0.04564818119272808,0.0896888109306219,0.047272364012597885,0.9394824567406456,0.09879209391594934,0.016165225246053818,0.09364960594552138,0.01671619894337963,0.980971438394358,0.09732564266006635,0.07514796216302683,0.08828537615037445,0.07778324657727231,0.9247816000614097,0.09298417928852554,0.03709656042461351,0.0867949348784551,0.03851120366903398,0.9091693579852651,0.095857072684014,0.012281797692533679,0.09112529503114244,0.012725451948603068,0.9545295021616161,0.09607172164746987,0.04498237879337659,0.0891470397225667,0.04659904132463715,0.9338074506807617,0.08429477072553924,0.100120154332693,0.07500404183108089,0.10454003652997984,0.7856607837007636,0.10153989206717659,0.027261115193406252,0.09546619022752172,0.02814024961215846,1.0
Proposed,binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1.5_seed_7,crypto_spikein_compact,1.5,5497,20,2,119.93219999999995,1.1458557418274662,1.1458557418274662,4,0,"[0, 4, 6, 18]",497,False,7,0.6770186335403726,0.25,0.25,0.25,0,"[0, 11, 16, 19]",11,-505.46875028495134,0.35354950510987415,0.49999616,0.14644665489012587,0.013169552384922864,0.07156993776121377,0.27041314561239993,0.09185565806116291,19.356741654854236,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.00078125,0.20785472624454637,0.0006790002578659853,0.23393869668320283,1.0,0.09029767682473011,0.05992658047351053,0.08774294719659063,0.06372933223733211,0.8820423973303874,0.06356649691526291,0.09989702616898369,0.06000732288952176,0.10809010783483355,0.6032280044145705,0.04454527408852904,0.11858539934155994,0.04147428331097744,0.1298738666909991,0.5551619656446699,0.0373669597732604,0.08734695916314214,0.03559905519166346,0.09609458480565311,0.4107682318833439,0.08954283893588838,0.09483518754571485,0.08483874524798905,0.10090497548886973,0.8528476947255533,0.0878127847460495,0.06127101821580892,0.08524421402104106,0.06526602995818657,0.8569236992370509,0.08077961059722572,0.10637302927876283,0.07588743905644736,0.1138278059850136,0.7628640342185061,0.0969359492018391,0.03682401574808989,0.09573850953796763,0.03899224292341177,0.962418372846591,0.09659609587697204,0.05847547252542892,0.09395569640593943,0.06193191570778979,0.9444965133785819,0.08705725107777662,0.08741164353212832,0.08293559362911625,0.09315438775672104,0.8337161238127061,0.10035681512705849,0.03168217774383894,0.09947701772857602,0.033472080088557045,1.0,0.09088449949471501,0.05297132202755783,0.0887516385169346,0.056312496254583226,0.892182340639667,0.09577346870164888,0.03999214988734614,0.09438319682893205,0.042378868337539705,0.9487939926632852,0.09397660096255582,0.06301252230070051,0.09111196399156721,0.06685239736351911,0.9159096851914788,0.09382162578839026,0.05608455258778272,0.09141819719603692,0.05951033522014711,0.9189881168881875,0.09797239175137604,0.02986857139196264,0.09723931384002125,0.03160528595241366,0.9775053179151353,0.09721403757683753,0.049790647577447736,0.09514540059342158,0.05271218900639018,0.9564561017804806,0.08231684100407305,0.08788854417664924,0.0783886389803824,0.09395160369166507,0.788007529480493,0.09697373682353523,0.03167821993267549,0.09612263358593232,0.03354160602009615,0.9662798079472369
Proposed,binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1.5_seed_8,crypto_spikein_compact,1.5,5610,20,2,119.98475000000019,1.168898547523746,1.168898547523746,4,0,"[0, 4, 6, 18]",610,False,8,0.7360248447204969,0.25,0.25,0.25,0,"[0, 13, 19, 9]",13,-421.3244132900956,0.35354950510987415,0.49999616,0.14644665489012587,0.024693517794429097,0.06879914053258165,0.38733788936133107,0.10114436265423854,19.24888483486517,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.0008058729673571143,0.2319164644775096,0.0006300351906320604,0.2630970049373298,1.0,0.10152615705129703,0.06841171645112086,0.09087994320484873,0.072830768065704,0.957050670251289,0.052286372139000656,0.13102575376780234,0.044535566517587506,0.14396449156188218,0.5471916778230707,0.06360923471552712,0.11390052700576536,0.054934413918532266,0.12425619591963766,0.5785106791064544,0.023046850718468657,0.09229050741152757,0.020249033957490094,0.10327478301252395,0.39253500068206476,0.08933467512079418,0.08029002119352856,0.07923321145687613,0.08615914725401179,0.8343997086358174,0.08086079386175764,0.08333742465079796,0.07154612421973872,0.08991750986620015,0.7534475014364848,0.0800919843352034,0.12681946338651542,0.06845139689946828,0.13690378504845307,0.7208571327405702,0.09609696156457345,0.02552246058439806,0.08887852194404815,0.027268250835517822,0.935973835346289,0.1001780244028585,0.030774073699734214,0.09228942625389784,0.03279287211130755,0.9718938430045958,0.08998090942750131,0.08563072294461266,0.07947329117378864,0.09185237240882488,0.8369279722535328,0.09688587800122395,0.008953964912251155,0.09072026292749856,0.009561308189918337,0.955369087813243,0.09404653074680538,0.03195234100774391,0.08656359090909636,0.034183664816882044,0.9115954497481352,0.10161798275310074,0.011690237398080576,0.09495834027365212,0.012444905107371763,1.0,0.09936636768960397,0.049320953914787816,0.09026368408627453,0.05258316628160161,0.9505608862386551,0.09676112246549216,0.04440136741011584,0.08822628146721878,0.04741997680632769,0.9291051340300093,0.0963156971695833,0.012558974942634332,0.08994632809815839,0.01341634264153669,0.9472188313206608,0.09651002475701424,0.032606502201307015,0.08878559405175039,0.03482689068696172,0.9349952178596106,0.07951309822402786,0.09118484206234787,0.06992017517592511,0.0984678755433158,0.7363247396113737,0.09863294349881187,0.007253424076421014,0.09247255791675313,0.007736468547927194,0.973822390432105
Proposed,binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1.5_seed_9,crypto_spikein_compact,1.5,5556,20,2,119.95978333333345,1.1578880533156446,1.1578880533156446,4,0,"[0, 4, 6, 18]",556,False,9,0.7066666666666667,0.25,0.25,0.25,0,"[0, 9, 13, 17]",9,-468.82998973003305,0.35354950510987415,0.49999616,0.14644665489012587,0.05574725471807928,0.09863226817594672,0.453139414559269,0.11692777961875667,19.098752335563933,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.0007836676943493061,0.20440926262824433,0.0006223393473477906,0.21631078607183415,1.0,0.08402614797791416,0.06793721476028941,0.07467654300799707,0.06797268292373491,0.7951237240455022,0.04145243975070091,0.09158681975720043,0.036161308127128367,0.09433687878340435,0.43611731294839934,0.030098110896170285,0.11147926847595246,0.025840687449806207,0.11570260524304983,0.5348905958144242,0.01548821904045587,0.0939328932534842,0.013485665219393896,0.09844169718987898,0.4550937980373651,0.0900490988404456,0.0955979171813946,0.0783022721445035,0.09524807458416444,0.8337289290707341,0.08063894514599519,0.08271935374122172,0.0708404560622587,0.08295909410044428,0.7542787195073142,0.06547650113421878,0.09823756006223572,0.056815691455773164,0.09955895887255152,0.6049490556853544,0.09633470179438669,0.033716939994613844,0.08789964821179565,0.033447645867211384,0.9359176632074134,0.10215413015865962,0.023722247294480726,0.09391814223332567,0.023438837920691395,1.0,0.08204414380423694,0.048953857870576864,0.07399492453901103,0.04904742653779143,0.7878661436379527,0.0936426721799456,0.03681936626317128,0.08524574017574509,0.03659181720887092,0.9076599914419592,0.096204714808173,0.04063480577646976,0.08732030452396167,0.04031093863722447,0.9297490606982763,0.09901224134939282,0.026001336101516483,0.09087560947527025,0.025745324893031135,0.9676044192771966,0.09336919706462272,0.06832615874811479,0.08295627954151057,0.06791893597893597,0.8832827989231091,0.0930307218161816,0.03655510130936836,0.08470358754667864,0.03634507195189996,0.9018873833369186,0.09491972362791032,0.007870943649984108,0.0883115607370172,0.0078154728339625,0.9403035306812206,0.09862426596338723,0.03485732599847151,0.08991067810515274,0.03452257497218428,0.95733024490394,0.07205904972245918,0.11703737126276978,0.0615878492095915,0.11807174511687903,0.6557609397403287,0.09806252710039942,0.029708071097392277,0.08975129174605143,0.029434009171575164,0.9556331674776708
Proposed,binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1.5_seed_10,crypto_spikein_compact,1.5,5632,20,2,119.93623333333335,1.1739571611247865,1.1739571611247865,4,0,"[0, 4, 6, 18]",632,False,10,0.7140740740740741,0.25,0.25,0.25,0,"[0, 9, 19, 11]",9,-381.7625346295486,0.35354950510987415,0.49999616,0.14644665489012587,0.0304057064164598,0.0782402421538813,0.3998311392498764,0.10122210807462317,19.28475487799634,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.0008053295283324533,0.20467170163625703,0.0006484812428820721,0.22444837309388502,1.0,0.09178919217470219,0.0595530287922518,0.08314390885233239,0.06155308051176065,0.8965142937666564,0.05760213179473981,0.0957300621066915,0.05073124286904019,0.10120845164051945,0.5470188375845939,0.036387479034355796,0.11967717604944593,0.03144367070945669,0.1282876901410573,0.5715688127861615,0.016568808659055335,0.0912739327922103,0.014643621161600668,0.09909683590295155,0.4415128278140832,0.08444430707664624,0.09391375184763148,0.07447932268210308,0.09754469495231968,0.8030868201440284,0.07783356329584608,0.09988114438130949,0.06832501326104178,0.10419973866998018,0.7367268613640837,0.08106781384189803,0.09705162221673402,0.07132519234813432,0.1010296185868558,0.7690768371177533,0.0957306648256033,0.0162103572186649,0.08959095656719243,0.016709887633300176,0.9660307563524246,0.09923835898120682,0.01807822183595688,0.09274130867786586,0.01859166607251535,1.0,0.08883777480598293,0.1114976218909773,0.07726993466906773,0.11547326432636916,0.8331771005891508,0.09843203663553587,0.009890691309060617,0.09254725708715218,0.01017740181179121,0.9979076034888864,0.09333631853047544,0.059595804743485456,0.08453929337306583,0.061532791433077216,0.9115602807235611,0.09826666479174372,0.010822002641457752,0.09233006323059151,0.011136564242939961,0.9955656712943011,0.09555115533927223,0.042294232175274574,0.08769374845806603,0.043603448090721815,0.9455737654367983,0.09524863188750687,0.051300392774533174,0.08681991422985139,0.052899563516810084,0.9361514892076598,0.09570801288925981,0.010616000842375701,0.08993556444533227,0.010943669999221821,0.9697465533694456,0.09769072730971384,0.06635351045654236,0.08802807618766136,0.06830964956795806,0.9491787148855558,0.07956607051232104,0.09556249739145559,0.07008374040820972,0.09957604187785503,0.7556906561631935,0.09879684939007521,0.012367352768874405,0.09272371756375285,0.012721595952510888,0.9998103206180311
Proposed,binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1.5_seed_11,crypto_spikein_compact,1.5,5661,20,2,119.95988333333365,1.17976940346585,1.17976940346585,4,0,"[0, 4, 6, 18]",661,False,11,0.7051851851851851,0.25,0.25,0.25,0,"[0, 13, 19, 9]",13,-351.3623612370514,0.35354950510987415,0.49999616,0.14644665489012587,0.06021455369943112,0.09054729110921515,0.49784223753024526,0.10554483565689265,19.286705870151124,0.0025,0.05,0.05,0.05,0.1,1,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.0007960361293095926,0.18543749080535618,0.0006143369267197642,0.1902412535101169,1.0,0.08031685700846,0.07748412166691725,0.06799653218532577,0.07522506571890662,0.7728672372027812,0.03337580208726314,0.1041126221581522,0.02764008085130075,0.10445165818235827,0.5490484122404271,0.024486297941617753,0.11737647533616788,0.020054858861219035,0.11848985144177646,0.6228399427334264,0.00908684054116457,0.09683138679767955,0.007571576236848563,0.09878042070964403,0.5192376463414701,0.08628993542597269,0.0893951026147505,0.07234531315768752,0.08641021452937558,0.8222966746651021,0.07416969625966016,0.0660695903736416,0.06338873639103275,0.06442390927763386,0.7204937662230599,0.06635547072906053,0.09316231352917564,0.05545650870906348,0.09134156408030807,0.6303338904706016,0.09317367405448523,0.014775440704162326,0.0829238374332155,0.014211040663302907,0.9425350834155158,0.09698479203061958,0.01805164384861592,0.08610262274021643,0.01731580006963515,0.9786660291994362,0.08600921376073159,0.08255260178210277,0.0725177402426218,0.07981220250043543,0.8242565282115869,0.09534494755161338,0.009919120076994805,0.08518866087399203,0.00952674258172871,0.9682776879156142,0.09272292284219422,0.031423929548269565,0.08146420003690771,0.030235830246361724,0.92594444437046,0.0986874168279578,0.01275294264792613,0.08797957645536107,0.012217521882111506,1.0,0.09228573321913547,0.09699900483794274,0.07688835943300504,0.0933538667689286,0.8739341848504638,0.09473099495570242,0.04575786720468335,0.08228560077940801,0.043963393088214286,0.9352807105312441,0.09561914249587614,0.01380402769842224,0.08517507034453388,0.013253981833703327,0.9681232142297237,0.09804204204727412,0.03946685103868808,0.08558479542857353,0.03782647331835191,0.9727802619281465,0.0657540219029776,0.0924770983723303,0.05498903338813887,0.09070694335368303,0.6250204377380597,0.09661450028746438,0.011066861501771266,0.0862391795066823,0.010618886225277551,0.9802181708664873
