"method","dataset","session","condition","alpha1_strength","events","K","M","T","empirical_nu_base","mean_events_per_actor_mark_per_sec","ring_size","hub_actor","true_ring","n_injected_events","hawkes_sampler_used","seed","heldout_frac","heldout_split_t","train_events","test_events","heldout_loglik","heldout_nll_per_event","heldout_metric_type","field_auc","precision","recall","f1","hub_correct","loglik_final","active_mean","b2_lambda0","b2_lambda1","b2_p00","b2_p11"
"B1_static_gates","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","1","0.2","95.82448000000005","2212","414","-671.3622269151075","1.6216478910992935","single_regime_static_marked_hawkes_loglik_from_static_gates","","","","","","-2837.4509344769976","","","","",""
"B2_modular_hmm_hawkes","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","1","0.2","95.82448000000005","2212","414","-74.39873319810083","0.17970708501956723","modular_hmm_interval_count_loglik_segmentation_stage","","","","","","","0.6576779916052903","36.3235294117647","69.78571428571429","0.75","0.4666666666666667"
"B3_static_svd","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","1","0.2","95.82448000000005","2212","414","-752.5600946568719","1.817778006417565","single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection","","","","","","","","","","",""
"Proposed","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","1","0.2","95.82448000000005","2212","414","-671.0441813279872","1.6208796650434474","latent_ctmc_marginal_interval_loglik","","","","","","-2803.739102599114","0.4037450590007154",,,,
"B1_static_gates","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","2","0.2","95.82448000000005","2212","414","-669.49067620194","1.6171272372027536","single_regime_static_marked_hawkes_loglik_from_static_gates","","","","","","-2837.762291959819","","","","",""
"B2_modular_hmm_hawkes","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","2","0.2","95.82448000000005","2212","414","-74.39873319810083","0.17970708501956723","modular_hmm_interval_count_loglik_segmentation_stage","","","","","","","0.6576779916052903","36.3235294117647","69.78571428571429","0.75","0.4666666666666667"
"B3_static_svd","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","2","0.2","95.82448000000005","2212","414","-752.5600946568719","1.817778006417565","single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection","","","","","","","","","","",""
"Proposed","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","2","0.2","95.82448000000005","2212","414","-668.9657913128979","1.6158593993065167","latent_ctmc_marginal_interval_loglik","","","","","","-2800.6575132717544","0.44090350858057614",,,,
"B1_static_gates","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","3","0.2","95.82448000000005","2212","414","-671.7041545502703","1.6224738032615227","single_regime_static_marked_hawkes_loglik_from_static_gates","","","","","","-2841.2626115461635","","","","",""
"B2_modular_hmm_hawkes","binance_vision","ftx_k20_q99_minutes_nov06_1200_quiet_anchor","real_crypto_window_sweep","","2626","20","2","119.78060000000005","0.5480854161692292","0.5480854161692292","4","0","[0, 1, 2, 3]","0","False","3","0.2","95.82448000000005","2212","414","-74.39873319810083","0.17970708501956723","modular_hmm_interval_count_loglik_segmentation_stage","","","","","","","0.6576779916052903","36.3235294117647","69.78571428571429","0.75","0.4666666666666667"
