method,dataset,session,condition,alpha1_strength,events,K,M,T,empirical_nu_base,mean_events_per_actor_mark_per_sec,ring_size,hub_actor,true_ring,n_injected_events,hawkes_sampler_used,seed,heldout_frac,heldout_split_t,train_events,test_events,heldout_loglik,heldout_nll_per_event,heldout_metric_type,field_auc,precision,recall,f1,hub_correct,loglik_final,beta0_hat,beta1_hat,beta_gap_hat,eta_on_hat,eta_off_hat,active_mean,gate_gini,gate_effective_support,proposed_lr,proposed_lambda_g,proposed_lambda_h,proposed_lambda_e,proposed_lambda_0,proposed_n_inner_steps,proposed_stability_target,proposed_eta_prior_weight_s,proposed_eta_prior_weight_pi,proposed_eta_off_floor,proposed_eta_pi1_target,proposed_eta_beta_prior_kappa,proposed_eta_beta_prior_target,proposed_eta_gamma_prior_shape,proposed_eta_gamma_prior_rate,proposed_eta_gamma_prior_weight,proposed_pi1_init,g0_hat,h0_hat,sender0_score,receiver0_score,member0_score,g1_hat,h1_hat,sender1_score,receiver1_score,member1_score,g2_hat,h2_hat,sender2_score,receiver2_score,member2_score,g3_hat,h3_hat,sender3_score,receiver3_score,member3_score,g4_hat,h4_hat,sender4_score,receiver4_score,member4_score,g5_hat,h5_hat,sender5_score,receiver5_score,member5_score,g6_hat,h6_hat,sender6_score,receiver6_score,member6_score,g7_hat,h7_hat,sender7_score,receiver7_score,member7_score,g8_hat,h8_hat,sender8_score,receiver8_score,member8_score,g9_hat,h9_hat,sender9_score,receiver9_score,member9_score,g10_hat,h10_hat,sender10_score,receiver10_score,member10_score,g11_hat,h11_hat,sender11_score,receiver11_score,member11_score,g12_hat,h12_hat,sender12_score,receiver12_score,member12_score,g13_hat,h13_hat,sender13_score,receiver13_score,member13_score,g14_hat,h14_hat,sender14_score,receiver14_score,member14_score,g15_hat,h15_hat,sender15_score,receiver15_score,member15_score,g16_hat,h16_hat,sender16_score,receiver16_score,member16_score,g17_hat,h17_hat,sender17_score,receiver17_score,member17_score,g18_hat,h18_hat,sender18_score,receiver18_score,member18_score,g19_hat,h19_hat,sender19_score,receiver19_score,member19_score,b2_lambda0,b2_lambda1,b2_p00,b2_p11
Proposed,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,2,0.2,28.76144,3838,1162,1654.1453440460646,-1.4235329983184721,latent_ctmc_marginal_interval_loglik,,,,,,5299.679957433308,11.34366665425902,20.0,8.65633334574098,4.489208201491756,0.002240539902730066,1.0,0.1475381118435044,18.70154715206869,0.0025,0.05,0.05,0.05,0.1,3.0,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.44022180497131597,0.24511291610617564,1.0705029965446384,0.5019404250671924,1.0,0.2708433240764033,0.2683467678927327,0.6542459661649139,0.5810228545955693,1.0,0.19654077412352353,0.24280350221024363,0.47823874987184345,0.5382298561523406,0.92634885511859,0.23244943260836812,0.24981329606470976,0.5644929118310968,0.5475429369810081,0.94237762361712,0.29338679674807117,0.15857545531046535,0.7310248787909415,0.3408668008995671,0.6828798061757305,0.1468506989090146,0.20312506218076262,0.3613743577405538,0.45725947426863567,0.7869905127689318,0.18976919297866413,0.21968744844351654,0.46480441343499196,0.4880211390203988,0.8399344968281739,0.17881552206782447,0.22056735816656037,0.43786538605659686,0.49164147721676493,0.8461654706491368,0.2559630043736695,0.16350577654737725,0.6369015622232936,0.3557135633173384,0.6122195719218976,0.1895532212964995,0.22964460943775333,0.46296965577246524,0.5101653375864039,0.8780469366244001,0.1531272452938879,0.2038964739101144,0.3767414143895438,0.45811284635034405,0.7884592537572745,0.11978078606166917,0.18229051146173184,0.29648566594047515,0.41379072242329196,0.7121763268870343,0.12109777457637508,0.17118317210985093,0.3006775621509428,0.3884066280606813,0.6684876937087755,0.1401127724928972,0.1936652112417141,0.3457097560564811,0.4368749548708552,0.7519066615287436,0.16984136198495814,0.21680051021400157,0.41632305930833063,0.4845920429416016,0.8340326703308598,0.07410356600412212,0.1315105587324422,0.18603079625948463,0.30268264958838076,0.5209479234669143,0.09966017524125413,0.17025567125731084,0.24751167222717152,0.3888389603302874,0.6692317819424595,0.03697386536323675,0.09073061018780394,0.09386556666416009,0.21116137677886687,0.36343041432655737,0.0410451601330758,0.10369732079338777,0.1038330071267278,0.2410425291697567,0.414858946189885,0.04442559280477807,0.08808893756989558,0.11286458187651549,0.20455738481188307,0.3520642659646644,,,,
B1_static_gates,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,2,0.2,28.76144,3838,1162,1561.3117075352081,-1.3436417448667883,single_regime_static_marked_hawkes_loglik_from_static_gates,,,,,,4806.761948209371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_modular_hmm_hawkes,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,2,0.2,28.76144,3838,1162,-34.3990923865405,0.029603349730241396,modular_hmm_interval_count_loglik_segmentation_stage,,,,,,,,,,,,0.5828381756341433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.36363636363637,323.25,0.5833333333333334,0.16666666666666666
B3_static_svd,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,2,0.2,28.76144,3838,1162,1282.662483479619,-1.1038403472285878,single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proposed,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,4,0.2,28.76144,3838,1162,1698.317032802752,-1.4615464998302512,latent_ctmc_marginal_interval_loglik,,,,,,5234.625365880409,11.76317409302685,20.0,8.23682590697315,4.225433582745944,0.00229705179938894,1.0,0.14809702786651036,18.69653756604965,0.0025,0.05,0.05,0.05,0.1,3.0,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.5343996383298905,0.2934505656158235,1.5759662791719369,0.7280036167060524,1.0,0.3281460106583064,0.3265029542731838,0.9602115114378651,0.8566755829167734,1.0,0.23816946682356743,0.29586972893489105,0.7019783391999314,0.7947502030767046,0.9277143167437693,0.28182601302554244,0.300758406130696,0.8296994685702576,0.7987897291706383,0.9324296677756967,0.354745291810699,0.1871273483850838,1.0723250370157054,0.4875333873046775,0.6804238461111867,0.17804887957552987,0.24673849130089337,0.5308507766531775,0.6730596381818738,0.7856645521403427,0.23016836759486983,0.2681476241735981,0.6828161309703755,0.7217738072100713,0.842528749042439,0.216434226534194,0.27010383939403404,0.6417837178976806,0.7296171149032493,0.8516842658443461,0.309488434123005,0.19374355126161252,0.9340924886497055,0.510839557228614,0.5963045608109067,0.2297495888540464,0.27877907295831905,0.6798890829857578,0.7504729277756054,0.876029319314117,0.18574582553668492,0.24806219786339895,0.5536393033558522,0.6753550348507387,0.7883439756171384,0.1451443108487713,0.22139959830117864,0.43529011539929485,0.608993248219323,0.7108796612900394,0.14698413644709632,0.20795312245637612,0.44218328257452083,0.5717399096127983,0.6673937264164365,0.169798722278615,0.23515807323578183,0.5076123672047902,0.642816733572815,0.7503619180835986,0.20585387405471584,0.26316348913488635,0.611405674410899,0.7127948124482547,0.832047541289038,0.08981648922490629,0.15993708836336945,0.2731879777128977,0.44606686785043903,0.5206952045156804,0.12073206909926329,0.20683160105169582,0.36329691660172825,0.5724194887648474,0.6681870012168403,0.044783016258697975,0.11057804635705659,0.13774602960843346,0.3118530511513971,0.3640270101893331,0.04965438652056574,0.1263240720200235,0.15218572377246098,0.35583134115296733,0.415363001174199,0.05379380020314192,0.10744722199652638,0.16557810759314648,0.302352278688577,0.35293672974679696,,,,
B1_static_gates,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,4,0.2,28.76144,3838,1162,1561.3112539779863,-1.3436413545421568,single_regime_static_marked_hawkes_loglik_from_static_gates,,,,,,4806.7610291167175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_modular_hmm_hawkes,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,4,0.2,28.76144,3838,1162,-34.3990923865405,0.029603349730241396,modular_hmm_interval_count_loglik_segmentation_stage,,,,,,,,,,,,0.5828381756341433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.36363636363637,323.25,0.5833333333333334,0.16666666666666666
B3_static_svd,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,4,0.2,28.76144,3838,1162,1282.662483479619,-1.1038403472285878,single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proposed,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,6,0.2,28.76144,3838,1162,1654.1501243034995,-1.4235371121372629,latent_ctmc_marginal_interval_loglik,,,,,,5299.673049830541,11.343504039805202,20.0,8.656495960194798,4.479736699449944,0.002236002729895307,1.0,0.1475475998607494,18.701416457859892,0.0025,0.05,0.05,0.05,0.1,3.0,0.5,0.0,0.0,0.0,,0.0,0.5,2.0,1.0,0.0,0.15,0.4402313298311891,0.2451146607922317,1.0705420502764427,0.501947647057189,1.0,0.2708440025587374,0.26835847477491775,0.6542612087564489,0.5810560662648976,1.0,0.1965368510477014,0.24281176798451262,0.47822420096501467,0.53825851913948,0.9263452365267852,0.23246506969162142,0.2497997859196867,0.5645416850343549,0.5475199200502275,0.9422841475001807,0.2933756232785036,0.1585734979384591,0.7310068559714669,0.3408681607871452,0.6828380592641843,0.14685205948907282,0.20312717132187444,0.3613772497354414,0.4572724978362823,0.7869679440328163,0.18976988441028483,0.21969670500286687,0.46481009438553716,0.48804557850253893,0.8399285487883434,0.1788117786672021,0.22057400591688775,0.43785906889111637,0.4916673447837649,0.8461616242030915,0.2559548201734736,0.16349211458133225,0.6368882910513024,0.35568000886506307,0.6121268316694798,0.1895580570729625,0.2296448377599596,0.4629817202526568,0.5101745888247359,0.8780126711423961,0.15313088962644147,0.20390146362559744,0.37674590274144004,0.4581280748395257,0.7884403957511903,0.11978565762057655,0.1822922092530271,0.29649498376807343,0.41378691244980487,0.712129063740234,0.12110582778583286,0.17118361800695797,0.30069099908436625,0.38841368208128396,0.6684616246725666,0.1401151179104286,0.1936658538926619,0.3457105048809135,0.43688473159940866,0.7518805102711678,0.16984417921350262,0.2168011453102123,0.41634453220179846,0.48460444226182636,0.8340063384535772,0.07410423985831636,0.13151099330619678,0.18603306892931437,0.3026844256834744,0.520921204091661,0.09965932199878585,0.1702561944556014,0.24751299023457454,0.3888425038728197,0.6691996288281592,0.036978351841147415,0.0907308483975824,0.09387571746821961,0.21116233248385163,0.3634112863518146,0.04104484098946899,0.1036979149727458,0.1038322227776724,0.2410460064925251,0.41484121840771676,0.04442623974746408,0.08808898976292226,0.11286600488409679,0.20455590841440707,0.352041601990869,,,,
B1_static_gates,hc-11,Achilles_10252013_5k,real_5k,,5000,20,1,35.9518,6.953754749414495,6.953754749414495,4,0,"[0, 1, 2, 3]",0,False,6,0.2,28.76144,3838,1162,1561.3126254444733,-1.3436425348059151,single_regime_static_marked_hawkes_loglik_from_static_gates,,,,,,4806.7624983969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
